,F0,F2,SL1,F1,SL2,S72,A74,A88,Log2T
mc48,-3.48432,-0.60805,-0.88165,-1.27597,0.25267,0,-0.04975,-1.45943,-0.77626
mc43,-4.20652,0,-11.31628,0.3112,0.09276,0,0,0,-0.7539
mc50,-3.43541,0.1834,-0.59262,-1.15925,0.25267,0,0.04809,-1.45943,-0.62966
mc51,-3.43541,0.1834,-0.59262,-1.15925,1.2854,0,0.04809,-1.45943,-0.62966
mc42,-1.21521,0,-11.31628,0,0,0,0,0,-0.57992
mc45,-2.56357,0,-0.82443,0.152,0.12928,0,0,0,-0.53533
mc7,-1.22651,0,-0.55973,0,0,0,0,0,-0.52492
mc44,-1.52333,-0.42884,-6.99435,0.07662,0,0,-0.10128,0.10128,-0.49818
mc47,-3.43541,-0.94753,-0.82443,-1.13459,0.14975,0,0.04809,-1.45943,-0.49208
mc14,-0.82246,0.02046,0,0,0.03892,0,0,0,-0.40163
mc46,0.23226,-1.07039,-0.27325,-0.02697,0,0,0,0,-0.40163
mc49,-3.40793,-0.02076,-0.55973,0,1.70217,0,0,-0.05344,-0.34373
mc8,0.05063,0,0,0.02647,0,0,0,0,-0.27753
mc6,0.17976,0,-0.28011,0,0,0,0,0,-0.2723
mc53,-0.00516,0.08881,0,-0.29508,-2.27208,0,-0.02466,0.10128,-0.23277
mc16,0,0.1834,0,-1.28471,0,0,0.04809,0,-0.22095
mc13,-1.33706,0,0,0.152,0.12928,0,0,0,-0.18279
mc9,0.1265,0,0,0.95275,0,0,0,0,-0.16327
mc17,0,1.40054,0,-1.33051,0,0,0,0,-0.14444
mc54,0.29866,-0.2863,0,0.09856,0,0,-0.10128,0.12553,-0.12973
mc55,0,0.1834,0,-1.28471,0,0,0.04809,-1.45943,-0.12029
mc11,-0.10148,0,0,1.42044,-0.40009,0,0,0,-0.01742
mc52,-0.00516,0.05217,0,-0.72247,-4.29956,0,0,0,-0.00144
mc0,0,0,0,0,0,0,0,0,0
mc12,-1.40981,0,0,0.39486,-0.11736,0,0,0,0.00701
mc38,0,0.06274,0,-1.50335,0,0,0.09464,0.05153,0.045
mc41,0,0,0,0,0,0,0,-0.05344,0.09085
mc10,0.02554,0,0,1.46525,-0.40009,0,0,0,0.0911
mc65,-0.73465,-0.88982,-0.27325,-0.98431,0.75822,0,-1.56071,-1.45943,0.12433
mc15,0.04731,-1.07039,0,0.1721,0,0,0,0,0.17887
mc60,-3.3881,-1.10281,-0.85174,0.36634,0.25267,0,-1.56071,-0.02647,0.25967
mc64,-3.3881,-1.10281,-0.83448,0.36634,1.2854,0,-1.56071,-0.02647,0.25967
mc40,0,0,0,0,0,0,0,-1.45943,0.26183
mc36,0,0,0,-1.52982,0,0,0.04809,0,0.29681
mc59,0.23226,-0.97728,-0.27325,0.22457,0,0,-1.56071,0,0.32077
mc66,-1.09159,-0.88982,-0.61931,-1.01031,0,0,-1.56071,-1.45943,0.33342
mc56,-1.21521,0.07235,-11.31628,-1.50335,0,0,-1.56071,0,0.4049
mc70,0,-0.65535,0,-1.26728,0,0,-1.56071,0.12553,0.47521
mc57,-1.06482,-0.8618,-7.99435,-1.47688,0,0,-1.56071,0.05153,0.50182
mc30,0,0,0,1.14625,0,0,-0.59724,0,0.73485
mc35,0,-0.05318,0,0,0,0,-0.59724,0,0.78214
mc58,0.11787,-0.88982,-0.27325,-1.01031,0,0,-1.56071,-1.45943,0.80735
